depth,ply,played_move,published_rank,reproduced_rank,rank_matches,move_1,eval_1,move_2,eval_2,move_3,eval_3,move_4,eval_4,move_5,eval_5,move_6,eval_6
10,24,h3,3,1,False,h3,+0.21,Ba2,+0.14,Bb3,+0.10,g3,+0.04,Rb1,+0.03,a5,-0.11
10,28,e5,1,2,False,Rd1,+0.12,e5,-0.02,Rb1,-0.09,b3,-0.09,Bf4,-0.12,Na2,-0.32
10,34,Rfc1,4,5,False,Nd6+,+0.96,Qe3,+0.49,Rfd1,+0.45,Rac1,+0.28,Rfc1,+0.24,g5,+0.10
10,42,Nd6+,5,1,False,Nd6+,+0.49,Qd3,+0.48,Nc5,+0.29,Bc5,+0.24,Bd2,+0.00,Bd4,-0.16
11,24,h3,3,1,False,h3,+0.34,Bb3,+0.33,Ba2,+0.17,a5,+0.12,g3,+0.07,Bd3,+0.05
11,28,e5,1,2,False,Rd1,+0.12,e5,+0.05,Rb1,+0.03,b3,-0.02,Nd1,-0.09,Na2,-0.13
11,34,Rfc1,3,4,False,Nd6+,+1.01,Rfd1,+0.74,Qe3,+0.67,Rfc1,+0.64,b4,+0.53,Rac1,+0.52
11,42,Nd6+,2,2,True,Bd4,+0.72,Nd6+,+0.67,Qd3,+0.58,Nc5,+0.43,Bc5,+0.31,Nd4,+0.20
12,24,h3,1,3,False,Bb3,+0.43,Ba2,+0.35,h3,+0.24,g3,+0.16,Bd2,+0.11,a5,+0.10
12,28,e5,1,1,True,e5,+0.28,Rd1,+0.06,Rb1,+0.00,b3,-0.04,Na2,-0.10,Nd1,-0.17
12,34,Rfc1,3,5,False,Nd6+,+1.00,Qe3,+0.71,Rfd1,+0.70,Rac1,+0.65,Rfc1,+0.60,b4,+0.52
12,42,Nd6+,1,2,False,Qd3,+0.82,Nd6+,+0.64,Nc5,+0.49,Bc5,+0.38,Nd4,+0.04,Bd2,+0.00
13,24,h3,2,2,True,Bb3,+0.29,h3,+0.22,g3,+0.15,Ba2,+0.13,Rb1,+0.12,a5,+0.06
13,28,e5,1,1,True,e5,+0.31,Rd1,+0.15,Rb1,+0.05,b3,+0.01,Na2,+0.00,Nd1,-0.18
13,34,Rfc1,4,5,False,Nd6+,+0.75,Qe3,+0.68,Rac1,+0.64,Rfd1,+0.61,Rfc1,+0.59,b4,+0.37
13,42,Nd6+,2,2,True,Qd3,+0.91,Nd6+,+0.61,Nfd2,+0.01,Nc5,+0.00,Bd2,+0.00,Bc5,+0.00
14,24,h3,4,3,False,Bb3,+0.41,g3,+0.23,h3,+0.22,Ba2,+0.21,a5,+0.18,Rb1,+0.03
14,28,e5,1,1,True,e5,+0.31,Rd1,+0.14,b3,+0.00,Rb1,+0.00,Qd3,-0.12,Na2,-0.14
14,34,Rfc1,6,1,False,Rfc1,+0.76,Nd6+,+0.76,Rac1,+0.63,Rfd1,+0.62,Qe3,+0.60,b4,+0.39
14,42,Nd6+,3,2,False,Qd3,+0.91,Nd6+,+0.76,Nc5,+0.38,Bc5,+0.20,Nd4,+0.07,Nfd2,+0.02
15,24,h3,4,1,False,h3,+0.33,Bb3,+0.32,Ba2,+0.25,g3,+0.23,Rb1,+0.16,a5,+0.15
15,28,e5,1,2,False,Rd1,+0.22,e5,+0.18,b3,+0.03,Rb1,+0.00,Kh1,-0.15,Na2,-0.16
15,34,Rfc1,5,3,False,Nd6+,+0.87,Qe3,+0.71,Rfc1,+0.71,Rac1,+0.68,Rfd1,+0.66,b4,+0.46
15,42,Nd6+,3,2,False,Qd3,+0.82,Nd6+,+0.59,Nc5,+0.56,Nfd2,+0.32,Bc5,+0.10,Nd4,+0.05
16,24,h3,3,3,True,Bb3,+0.33,Ba2,+0.31,h3,+0.27,g3,+0.20,a5,+0.15,Bd2,+0.04
16,28,e5,2,1,False,e5,+0.12,Rd1,+0.10,Rb1,+0.00,b3,+0.00,Qd3,-0.13,Kh1,-0.16
16,34,Rfc1,3,4,False,Rac1,+0.80,Qe3,+0.78,Nd6+,+0.72,Rfc1,+0.65,Rfd1,+0.60,b4,+0.53
16,42,Nd6+,4,3,False,Qd3,+1.00,Nc5,+0.63,Nd6+,+0.59,Nfd2,+0.30,Nd4,+0.12,Bc5,+0.00
17,24,h3,2,2,True,Bb3,+0.26,h3,+0.26,a5,+0.19,Ba2,+0.19,Bd2,+0.14,Rb1,+0.12
17,28,e5,1,2,False,Rd1,+0.26,e5,+0.12,b3,-0.01,Rb1,-0.05,Qd3,-0.07,Kh1,-0.14
17,34,Rfc1,2,1,False,Rfc1,+0.79,Nd6+,+0.78,Rac1,+0.73,Rfd1,+0.72,Qe3,+0.65,b4,+0.53
17,42,Nd6+,2,2,True,Qd3,+0.88,Nd6+,+0.66,Nc5,+0.55,Nfd2,+0.44,Nd4,+0.39,Bd4,+0.39
18,24,h3,5,4,False,a5,+0.22,Bb3,+0.21,e5,+0.20,h3,+0.17,Ba2,+0.14,g3,+0.12
18,28,e5,3,1,False,e5,+0.20,Rd1,+0.15,b3,+0.01,Nd1,-0.03,Rb1,-0.04,Qd3,-0.10
18,34,Rfc1,2,1,False,Rfc1,+0.86,Nd6+,+0.77,Qe3,+0.77,Rfd1,+0.76,Rac1,+0.74,b4,+0.52
18,42,Nd6+,1,2,False,Qd3,+1.02,Nd6+,+0.66,Nd4,+0.49,Nfd2,+0.45,Nc5,+0.29,Bc5,+0.00
