event,round,matches,non_book_moves,correlation,percent_rounded
121. US Open 2021,4,13,20,0.65,65
121. US Open 2021,5,24,31,0.7741935483870968,77
121. US Open 2021,7,10,23,0.43478260869565216,43
121. US Open 2021,8,10,22,0.45454545454545453,45
121. US Open 2021,9,18,29,0.6206896551724138,62
14. Philadelphia Int,1,17,25,0.68,68
14. Philadelphia Int,2,22,32,0.6875,69
14. Philadelphia Int,3,12,24,0.5,50
14. Philadelphia Int,4,20,28,0.7142857142857143,71
14. Philadelphia Int,5,25,49,0.5102040816326531,51
14. Philadelphia Int,6,29,45,0.6444444444444445,64
14. Philadelphia Int,7,23,39,0.5897435897435898,59
14. Philadelphia Int,9,35,50,0.7,70
2. Tras-os-Montes Open,2,13,36,0.3611111111111111,36
2. Tras-os-Montes Open,4,37,64,0.578125,58
2. Tras-os-Montes Open,5,25,43,0.5813953488372093,58
2. Tras-os-Montes Open,7,27,34,0.7941176470588235,79
2. Tras-os-Montes Open,8,48,69,0.6956521739130435,70
2. Tras-os-Montes Open,9,24,45,0.5333333333333333,53
49. Annual World Open,1,9,14,0.6428571428571429,64
49. Annual World Open,2,21,33,0.6363636363636364,64
49. Annual World Open,3,11,20,0.55,55
49. Annual World Open,4,29,43,0.6744186046511628,67
49. Annual World Open,5,24,47,0.5106382978723404,51
49. Annual World Open,7,9,11,0.8181818181818182,82
49. Annual World Open,8,26,56,0.4642857142857143,46
49. Annual World Open,9,24,41,0.5853658536585366,59
49. Annual World Open TB,1,19,41,0.4634146341463415,46
National Open 2021,1,20,27,0.7407407407407407,74
National Open 2021,2,25,40,0.625,62
National Open 2021,3,37,64,0.578125,58
National Open 2021,4,29,46,0.6304347826086957,63
National Open 2021,5,44,80,0.55,55
National Open 2021,6,15,38,0.39473684210526316,39
National Open 2021,7,7,17,0.4117647058823529,41
National Open 2021,8,19,29,0.6551724137931034,66
National Open 2021,9,5,24,0.20833333333333334,21
USA Ch Junior 2021,1,19,35,0.5428571428571428,54
USA Ch Junior 2021,2,23,39,0.5897435897435898,59
USA Ch Junior 2021,3,13,18,0.7222222222222222,72
USA Ch Junior 2021,4,21,40,0.525,52
USA Ch Junior 2021,5,18,27,0.6666666666666666,67
USA Ch Junior 2021,6,19,23,0.8260869565217391,83
USA Ch Junior 2021,7,28,44,0.6363636363636364,64
USA Ch Junior 2021,8,25,47,0.5319148936170213,53
USA Ch Junior 2021,9,35,64,0.546875,55
