game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,depth_best,depth_min,depth_max
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,0,white,"Niemann, Hans Moke",d4,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,1,black,"Oberoi, Shelev",Nf6,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,2,white,"Niemann, Hans Moke",c4,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,3,black,"Oberoi, Shelev",g6,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,4,white,"Niemann, Hans Moke",Nc3,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,5,black,"Oberoi, Shelev",Bg7,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,6,white,"Niemann, Hans Moke",e4,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,7,black,"Oberoi, Shelev",d6,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,8,white,"Niemann, Hans Moke",Be2,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,9,black,"Oberoi, Shelev",O-O,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,10,white,"Niemann, Hans Moke",Be3,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,11,black,"Oberoi, Shelev",c5,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,12,white,"Niemann, Hans Moke",d5,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,13,black,"Oberoi, Shelev",e6,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,14,white,"Niemann, Hans Moke",Nf3,1,Nf3,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,15,black,"Oberoi, Shelev",exd5,B,,,,
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,16,white,"Niemann, Hans Moke",cxd5,1,cxd5,18,17,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,17,black,"Oberoi, Shelev",b5,2,Bg4,17,17,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,18,white,"Niemann, Hans Moke",e5,1,e5,17,17,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,19,black,"Oberoi, Shelev",Ng4,2,dxe5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,20,white,"Niemann, Hans Moke",Bg5,1,Bg5,18,18,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,21,black,"Oberoi, Shelev",Qb6,1,Qb6,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,22,white,"Niemann, Hans Moke",exd6,2,e6,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,23,black,"Oberoi, Shelev",c4,8,b4,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,24,white,"Niemann, Hans Moke",O-O,1,O-O,16,15,16
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,25,black,"Oberoi, Shelev",Nd7,1,Nd7,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,26,white,"Niemann, Hans Moke",Be7,1,Be7,16,15,16
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,27,black,"Oberoi, Shelev",Re8,4,Bb7,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,28,white,"Niemann, Hans Moke",a4,1,a4,16,15,16
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,29,black,"Oberoi, Shelev",Nge5,5,b4,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,30,white,"Niemann, Hans Moke",Nd4,>10,Nxb5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,31,black,"Oberoi, Shelev",b4,1,b4,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,32,white,"Niemann, Hans Moke",Ncb5,1,Ncb5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,33,black,"Oberoi, Shelev",Bb7,1,Bb7,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,34,white,"Niemann, Hans Moke",Bg5,7,a5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,35,black,"Oberoi, Shelev",a6,1,a6,16,15,16
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,36,white,"Niemann, Hans Moke",a5,1,a5,18,17,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,37,black,"Oberoi, Shelev",Qc5,1,Qc5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,38,white,"Niemann, Hans Moke",Nc7,1,Nc7,17,17,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,39,black,"Oberoi, Shelev",Qxd6,1,Qxd6,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,40,white,"Niemann, Hans Moke",Nxe8,1,Nxe8,18,17,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,41,black,"Oberoi, Shelev",Qxd5,1,Qxd5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,42,white,"Niemann, Hans Moke",Nf3,1,Nf3,21,21,21
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,43,black,"Oberoi, Shelev",Rxe8,1,Rxe8,18,17,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,44,white,"Niemann, Hans Moke",Bd2,6,Qxd5,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,45,black,"Oberoi, Shelev",Nc5,10,b3,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,46,white,"Niemann, Hans Moke",Bxb4,1,Bxb4,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,47,black,"Oberoi, Shelev",Ncd3,1,Ncd3,18,17,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,48,white,"Niemann, Hans Moke",Bc3,1,Bc3,18,17,18
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,49,black,"Oberoi, Shelev",Nf4,1,Nf4,16,16,16
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,50,white,"Niemann, Hans Moke",Re1,1,Re1,17,16,17
128,National Open 2021,2021.06.16,1.10,"Niemann, Hans Moke","Oberoi, Shelev",1-0,51,black,"Oberoi, Shelev",Qc6,1,Qc6,16,15,16
