game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,chosen_expectation,best_expectation,legacy_code_match,depth_best,depth_played,depth_min,depth_max
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,0,white,"Colas, Joshua",c4,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,1,black,"Niemann, Hans Moke",c6,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,2,white,"Colas, Joshua",e4,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,3,black,"Niemann, Hans Moke",d5,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,4,white,"Colas, Joshua",exd5,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,5,black,"Niemann, Hans Moke",cxd5,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,6,white,"Colas, Joshua",d4,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,7,black,"Niemann, Hans Moke",Nf6,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,8,white,"Colas, Joshua",Nc3,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,9,black,"Niemann, Hans Moke",g6,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,10,white,"Colas, Joshua",cxd5,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,11,black,"Niemann, Hans Moke",Bg7,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,12,white,"Colas, Joshua",Bb5+,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,13,black,"Niemann, Hans Moke",Nbd7,B,,,,,,,,
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,14,white,"Colas, Joshua",Nge2,>10,Nf3,0.0,0.513,False,18,,17,18
