year,round,percent
2014,1,89
2014,2,94
2014,3,75
2014,4,84
2014,5,83
2014,6,79
2014,7,79
2014,8,58
2014,9,76
2014,10,57
2015,1,68
2015,2,62
2015,3,81
2015,4,69
2015,5,76
2015,6,64
2015,7,45
2015,8,68
2015,9,51
2016,1,62
2016,2,59
2016,3,55
2016,4,65
2016,5,69
2016,6,69
2016,7,73
2016,8,87
2016,9,72
2017,1,82
2017,2,69
2017,3,65
2017,4,58
2017,5,54
2017,6,57
2017,7,38
2017,8,59
2017,9,74
2018,1,55
2018,2,62
2018,3,70
2018,4,72
2018,5,79
2018,6,64
2018,7,71
2018,8,67
2018,9,70
2018,10,88
2018,11,59
2019,1,67
2019,2,64
2019,3,72
2019,4,79
2019,5,94
2019,6,87
2019,7,79
2019,8,69
2019,9,74
2019,10,88
2019,11,59
2021,1,79
2021,2,76
2021,3,79
2021,4,60
2021,5,50
2021,6,84
2021,7,76
2021,8,74
2021,9,66
