depth,ply,move,rank
10,24,13.h3,3
10,28,15.e5,1
10,34,18.Rfc1,4
10,42,22.Nd6+,5
11,24,13.h3,3
11,28,15.e5,1
11,34,18.Rfc1,3
11,42,22.Nd6+,2
12,24,13.h3,1
12,28,15.e5,1
12,34,18.Rfc1,3
12,42,22.Nd6+,1
13,24,13.h3,2
13,28,15.e5,1
13,34,18.Rfc1,4
13,42,22.Nd6+,2
14,24,13.h3,4
14,28,15.e5,1
14,34,18.Rfc1,6
14,42,22.Nd6+,3
15,24,13.h3,4
15,28,15.e5,1
15,34,18.Rfc1,5
15,42,22.Nd6+,3
16,24,13.h3,3
16,28,15.e5,2
16,34,18.Rfc1,3
16,42,22.Nd6+,4
17,24,13.h3,2
17,28,15.e5,1
17,34,18.Rfc1,2
17,42,22.Nd6+,2
18,24,13.h3,5
18,28,15.e5,3
18,34,18.Rfc1,2
18,42,22.Nd6+,1
19,24,13.h3,4
19,28,15.e5,1
19,34,18.Rfc1,1
19,42,22.Nd6+,2
20,24,13.h3,2
20,28,15.e5,1
20,34,18.Rfc1,5
20,42,22.Nd6+,2
21,24,13.h3,4
21,28,15.e5,1
21,34,18.Rfc1,3
21,42,22.Nd6+,2
22,24,13.h3,2
22,28,15.e5,1
22,34,18.Rfc1,2
22,42,22.Nd6+,2
23,24,13.h3,1
23,28,15.e5,1
23,34,18.Rfc1,2
23,42,22.Nd6+,3
24,24,13.h3,1
24,28,15.e5,1
24,34,18.Rfc1,2
24,42,22.Nd6+,2
25,24,13.h3,1
25,28,15.e5,1
25,34,18.Rfc1,4
25,42,22.Nd6+,2
