dataset,tournament,round,percent,games_link,tournament_link
lets_check,13th Foxwoods Open,1,71,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,13th Foxwoods Open,2,46,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,13th Foxwoods Open,4,30,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,13th Foxwoods Open,5,69,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,13th Foxwoods Open,6,59,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,13th Foxwoods Open,7,24,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,13th Foxwoods Open,8,46,http://view.chessbase.com/cbreader/2022/9/11/Game233920671.html,https://theweekinchess.com/html/twic1276.html
lets_check,ch-USA Cadet 2019,1,36,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,ch-USA Cadet 2019,2,55,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,ch-USA Cadet 2019,3,37,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,ch-USA Cadet 2019,4,46,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,ch-USA Cadet 2019,5,75,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,ch-USA Cadet 2019,6,84,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,ch-USA Cadet 2019,7,39,http://view.chessbase.com/cbreader/2022/9/11/Game236020937.html,
lets_check,47th Annual World Open,1,39,http://view.chessbase.com/cbreader/2022/9/11/Game235905625.html,https://theweekinchess.com/html/twic1287.html
lets_check,47th Annual World Open,2,64,http://view.chessbase.com/cbreader/2022/9/11/Game235905625.html,https://theweekinchess.com/html/twic1287.html
lets_check,47th Annual World Open,3,72,http://view.chessbase.com/cbreader/2022/9/11/Game235905625.html,https://theweekinchess.com/html/twic1287.html
lets_check,47th Annual World Open,4,81,http://view.chessbase.com/cbreader/2022/9/11/Game235905625.html,https://theweekinchess.com/html/twic1287.html
lets_check,47th Annual World Open,5,27,http://view.chessbase.com/cbreader/2022/9/11/Game235905625.html,https://theweekinchess.com/html/twic1287.html
