tournament,round,lets_check,stockfish_15,stockfish_7
121st US Open 2021,4,97,80,85
121st US Open 2021,5,86,81,68
121st US Open 2021,7,64,57,52
121st US Open 2021,9,84,69,72
14th Philadelphia Int,1,100,80,76
14th Philadelphia Int,2,54,66,56
14th Philadelphia Int,3,78,54,58
14th Philadelphia Int,4,62,75,75
14th Philadelphia Int,5,51,63,78
14th Philadelphia Int,6,73,64,64
14th Philadelphia Int,7,72,59,77
14th Philadelphia Int,9,69,82,82
2nd Tras-os-Montes Open,2,43,56,61
2nd Tras-os-Montes Open,4,63,86,80
2nd Tras-os-Montes Open,5,71,70,74
2nd Tras-os-Montes Open,7,100,91,65
2nd Tras-os-Montes Open,8,67,75,74
2nd Tras-os-Montes Open,9,58,78,69
49th Annual World Open,2,74,79,55
49th Annual World Open,3,63,70,55
49th Annual World Open,4,92,88,63
49th Annual World Open,5,67,64,66
49th Annual World Open,8,60,57,68
49th Annual World Open,9,67,56,56
49th Annual World Open,10,69,59,39
National Open 2021,1,51,74,78
National Open 2021,2,89,83,70
National Open 2021,3,80,75,70
National Open 2021,4,88,72,65
National Open 2021,5,83,78,64
National Open 2021,6,47,50,45
National Open 2021,7,26,59,41
National Open 2021,8,77,59,55
National Open 2021,9,30,38,33
ch-USA Junior 2021,1,68,77,77
ch-USA Junior 2021,2,56,82,72
ch-USA Junior 2021,3,98,83,83
ch-USA Junior 2021,4,81,68,73
ch-USA Junior 2021,5,80,78,74
ch-USA Junior 2021,6,100,87,83
ch-USA Junior 2021,7,85,84,75
ch-USA Junior 2021,8,67,70,55
ch-USA Junior 2021,9,72,72,64
